ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7934255	9.74e-07	8.57e-08	6.454453	7.656316	0.8094	MICU1	mitochondrial calcium uptake 1
8151457	9.76e-07	8.60e-08	6.453537	7.653316	1.213153	HEY1	hes related family bHLH transcription factor with YRPW motif 1
8057056	9.77e-07	8.61e-08	-6.452926	7.651314	-0.662897	TTN	titin
7992811	9.77e-07	8.61e-08	-6.45292	7.651296	-0.782013	MMP25	matrix metallopeptidase 25
7951928	9.78e-07	8.63e-08	-6.452275	7.649182	-0.534598	DSCAML1	DS cell adhesion molecule like 1
7980115	9.83e-07	8.68e-08	6.450709	7.644051	0.501717	ABCD4///ABCD4	ATP binding cassette subfamily D member 4///ATP binding cassette subfamily D member 4
7900382	9.88e-07	8.73e-08	6.449007	7.638477	0.444151	CAP1	adenylate cyclase associated protein 1
8050071	9.93e-07	8.78e-08	6.447282	7.632825	1.388396	ADI1	acireductone dioxygenase 1
8128991	9.93e-07	8.79e-08	6.446922	7.631646	1.104272	LAMA4	laminin subunit alpha 4
7932118	9.93e-07	8.79e-08	6.446699	7.630914	0.755421	BEND7	BEN domain containing 7
8133549	9.93e-07	8.80e-08	6.446619	7.630652	0.880886	GTF2IRD2B///GTF2IRD2	GTF2I repeat domain containing 2B///GTF2I repeat domain containing 2
7918323	9.99e-07	8.86e-08	6.444507	7.623733	0.983862	SORT1	sortilin 1
8169009	1.01e-06	8.92e-08	6.442447	7.616985	1.185206	BEX4	brain expressed X-linked 4
7974372	1.01e-06	8.93e-08	-6.442113	7.61589	-0.543437	GPR137C	G protein-coupled receptor 137C
7969060	1.01e-06	8.96e-08	6.44102	7.61231	1.005202	FNDC3A	fibronectin type III domain containing 3A
8052585	1.01e-06	8.97e-08	6.440843	7.611731	0.805551	TMEM17	transmembrane protein 17
8061982	1.01e-06	9.01e-08	-6.439312	7.606715	-0.622468	ASIP	agouti signaling protein
8046555	1.01e-06	9.01e-08	-6.439288	7.606635	-0.4267	HOXD4	homeobox D4
8009526	1.01e-06	9.03e-08	-6.4388	7.605036	-0.810492	SSTR2	somatostatin receptor 2
8115606	1.02e-06	9.11e-08	6.436132	7.596299	1.196258	SLU7	SLU7 homolog, splicing factor
8149534	1.02e-06	9.13e-08	6.435561	7.594426	0.886618	ASAH1	N-acylsphingosine amidohydrolase 1
8115464	1.03e-06	9.16e-08	6.434504	7.590964	1.289227	HAVCR2	hepatitis A virus cellular receptor 2
8125295	1.03e-06	9.16e-08	6.434422	7.590695	0.617732	TNXB///ATF6B	tenascin XB///activating transcription factor 6 beta
7953278	1.03e-06	9.16e-08	-6.434419	7.590686	-0.921061	KCNA5	potassium voltage-gated channel subfamily A member 5
7910550	1.03e-06	9.21e-08	6.432917	7.585764	1.028707	TSNAX-DISC1///TSNAX	TSNAX-DISC1 readthrough (NMD candidate)///translin associated factor X
8111443	1.04e-06	9.30e-08	-6.429987	7.576164	-1.099943	C1QTNF3-AMACR///C1QTNF3	C1QTNF3-AMACR readthrough (NMD candidate)///C1q and tumor necrosis factor related protein 3
8100994	1.04e-06	9.33e-08	-6.428889	7.572568	-1.72847	CXCL2	C-X-C motif chemokine ligand 2
7958398	1.05e-06	9.36e-08	-6.427782	7.568943	-0.684857	WSCD2	WSC domain containing 2
8003180	1.05e-06	9.37e-08	6.427579	7.568276	0.930372	ZDHHC7	zinc finger DHHC-type containing 7
7960411	1.05e-06	9.38e-08	6.427227	7.567125	0.894461	C12orf4	chromosome 12 open reading frame 4
7931519	1.05e-06	9.41e-08	-6.42638	7.564347	-0.55293	KNDC1	kinase non-catalytic C-lobe domain containing 1
8103206	1.05e-06	9.43e-08	6.425655	7.561972	0.795655	FBXW7	F-box and WD repeat domain containing 7
7932041	1.05e-06	9.46e-08	6.424667	7.558737	1.001068	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)
8102311	1.05e-06	9.48e-08	6.424034	7.556664	1.116418	CASP6	caspase 6
8051963	1.05e-06	9.48e-08	6.423965	7.556439	0.76754	SRBD1	S1 RNA binding domain 1
7967084	1.05e-06	9.49e-08	6.423878	7.556152	1.214674	POP5	POP5 homolog, ribonuclease P/MRP subunit
8131091	1.06e-06	9.52e-08	6.422858	7.552809	0.845617	MAFK	MAF bZIP transcription factor K
8094625	1.06e-06	9.53e-08	6.422468	7.551533	1.437164	KLHL5	kelch like family member 5
8170097	1.06e-06	9.56e-08	6.421712	7.549056	0.897172	SLC9A6	solute carrier family 9 member A6
8144213	1.06e-06	9.56e-08	-6.421694	7.548997	-0.572724	VIPR2	vasoactive intestinal peptide receptor 2
7967322	1.06e-06	9.57e-08	-6.421323	7.547782	-1.354827	HCAR3	hydroxycarboxylic acid receptor 3
7943424	1.06e-06	9.61e-08	6.420134	7.543888	1.109317	BIRC2	baculoviral IAP repeat containing 2
7934367	1.07e-06	9.64e-08	6.4192	7.540825	0.879926	ANXA7	annexin A7
8119609	1.08e-06	9.76e-08	6.415382	7.528319	0.834729	CNPY3	canopy FGF signaling regulator 3
8053576	1.09e-06	9.84e-08	6.412979	7.520447	0.91139	RNF103	ring finger protein 103
7936529	1.09e-06	9.85e-08	6.412492	7.518849	1.5869	SHTN1	shootin 1
7911017	1.09e-06	9.87e-08	6.412003	7.517247	1.00748	SDCCAG8	serologically defined colon cancer antigen 8
8168737	1.09e-06	9.87e-08	-6.411929	7.517006	-0.925307	TNMD	tenomodulin
7941457	1.09e-06	9.88e-08	-6.411664	7.516138	-0.521117	CCDC85B	coiled-coil domain containing 85B
8004309	1.10e-06	9.97e-08	-6.408875	7.507002	-0.622534	SLC2A4	solute carrier family 2 member 4
8078033	1.10e-06	1.00e-07	6.407864	7.503688	0.819237	TMEM135///CCDC174	transmembrane protein 135///coiled-coil domain containing 174
8147344	1.10e-06	1.00e-07	6.407496	7.502484	0.72961	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1
7980271	1.10e-06	1.00e-07	6.406729	7.49997	0.771644	NEK9	NIMA related kinase 9
8159984	1.10e-06	1.01e-07	6.406249	7.498399	0.847144	PLGRKT	plasminogen receptor with a C-terminal lysine
7935707	1.10e-06	1.01e-07	6.40601	7.497615	1.049165	CHUK	conserved helix-loop-helix ubiquitous kinase
8156706	1.10e-06	1.01e-07	-6.40594	7.497387	-1.307417	TMOD1	tropomodulin 1
8033075	1.10e-06	1.01e-07	6.405882	7.497194	0.700416	RANBP3	RAN binding protein 3
7977571	1.10e-06	1.01e-07	6.405554	7.496122	0.863086	OSGEP	O-sialoglycoprotein endopeptidase
8124901	1.11e-06	1.01e-07	6.404681	7.493262	0.521345	HLA-C///HLA-B///HLA-A///HLA-B///HLA-A	major histocompatibility complex, class I, C///major histocompatibility complex, class I, B///major histocompatibility complex, class I, A///major histocompatibility complex, class I, B///major histocompatibility complex, class I, A
8050766	1.11e-06	1.01e-07	6.403935	7.490817	0.831431	ADCY3	adenylate cyclase 3
7897370	1.11e-06	1.02e-07	6.403317	7.488793	0.866015	VAMP3	vesicle associated membrane protein 3
7945058	1.11e-06	1.02e-07	6.403097	7.488073	0.886789	FAM118B	family with sequence similarity 118 member B
8008113	1.11e-06	1.02e-07	6.402725	7.486854	1.048824	CALCOCO2	calcium binding and coiled-coil domain 2
7991357	1.12e-06	1.02e-07	6.401213	7.4819	1.034918	C15orf38-AP3S2///AP3S2	C15orf38-AP3S2 readthrough///adaptor related protein complex 3 sigma 2 subunit
7995362	1.12e-06	1.03e-07	6.400555	7.479744	0.834035	GPT2	glutamic--pyruvic transaminase 2
8156945	1.12e-06	1.03e-07	6.400231	7.478683	0.74301	RNF20	ring finger protein 20
7931852	1.12e-06	1.03e-07	-6.399949	7.477759	-0.782068	TUBAL3	tubulin alpha like 3
7919217	1.12e-06	1.03e-07	6.399218	7.475364	0.463467	NUDT17	nudix hydrolase 17
8059361	1.13e-06	1.04e-07	6.396876	7.46769	0.611263	WDFY1///FAF2	WD repeat and FYVE domain containing 1///Fas associated factor family member 2
8118249	1.15e-06	1.06e-07	-6.390616	7.447181	-0.66443	C6orf25	chromosome 6 open reading frame 25
8140620	1.16e-06	1.07e-07	-6.38906	7.442083	-0.74434	PCLO	piccolo presynaptic cytomatrix protein
8150197	1.16e-06	1.07e-07	-6.388535	7.440365	-0.736996	DUSP26	dual specificity phosphatase 26 (putative)
7971850	1.16e-06	1.07e-07	-6.38844	7.440055	-0.506397	PCDH8	protocadherin 8
7978932	1.16e-06	1.07e-07	6.386823	7.434757	1.125343	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2
7975607	1.17e-06	1.08e-07	6.386238	7.432839	1.030489	ACOT4	acyl-CoA thioesterase 4
7915408	1.17e-06	1.08e-07	6.385796	7.431391	0.577043	FOXJ3	forkhead box J3
7954312	1.17e-06	1.08e-07	-6.385764	7.431288	-1.16798	SLCO1C1	solute carrier organic anion transporter family member 1C1
8046861	1.17e-06	1.08e-07	6.385713	7.431119	1.265691	ITGAV	integrin subunit alpha V
7969815	1.17e-06	1.08e-07	6.385183	7.429383	0.633668	CLYBL	citrate lyase beta like
7927536	1.17e-06	1.08e-07	6.384807	7.428151	0.983434	NCOA4	nuclear receptor coactivator 4
7992396	1.17e-06	1.09e-07	6.383257	7.423073	0.842102	FAHD1	fumarylacetoacetate hydrolase domain containing 1
8147079	1.19e-06	1.10e-07	6.379867	7.411967	1.27769	LRRCC1	leucine rich repeat and coiled-coil centrosomal protein 1
8168892	1.19e-06	1.10e-07	-6.379251	7.409949	-1.568989	TCEAL2	transcription elongation factor A like 2
8152062	1.19e-06	1.10e-07	-6.379175	7.409701	-0.770483	SNX31	sorting nexin 31
7922174	1.19e-06	1.10e-07	-6.378484	7.407438	-1.050757	F5	coagulation factor V
8036389	1.19e-06	1.11e-07	6.376924	7.402327	0.82131	ZNF585B	zinc finger protein 585B
8103630	1.19e-06	1.11e-07	6.376753	7.401765	0.881986	SH3RF1	SH3 domain containing ring finger 1
7909503	1.20e-06	1.12e-07	-6.374643	7.394854	-0.847762	SERTAD4	SERTA domain containing 4
8136080	1.21e-06	1.12e-07	-6.37293	7.389242	-0.572324	SMO	smoothened, frizzled class receptor
8150089	1.21e-06	1.13e-07	6.372499	7.38783	0.724967	SARAF	store-operated calcium entry associated regulatory factor
8143772	1.21e-06	1.13e-07	6.37207	7.386425	1.12933	RARRES2	retinoic acid receptor responder 2
8022612	1.21e-06	1.13e-07	-6.371453	7.384402	-1.291746	ZNF521	zinc finger protein 521
7922846	1.21e-06	1.13e-07	6.371413	7.384271	0.944678	FAM129A	family with sequence similarity 129 member A
8081128	1.21e-06	1.13e-07	6.370803	7.382275	0.640519	NSUN3	NOP2/Sun RNA methyltransferase family member 3
8076978	1.21e-06	1.13e-07	-6.370228	7.380389	-0.543742	MAPK11	mitogen-activated protein kinase 11
8068460	1.21e-06	1.13e-07	6.369963	7.379521	0.937798	MORC3	MORC family CW-type zinc finger 3
8098512	1.21e-06	1.14e-07	6.369781	7.378925	0.897341	TRAPPC11	trafficking protein particle complex 11
7916843	1.22e-06	1.14e-07	6.36933	7.377446	1.168688	GNG12	G protein subunit gamma 12
8138824	1.22e-06	1.14e-07	6.368768	7.375608	1.034523	SCRN1	secernin 1
8122150	1.22e-06	1.14e-07	-6.36845	7.374565	-0.832017	EYA4	EYA transcriptional coactivator and phosphatase 4
7944082	1.22e-06	1.15e-07	-6.367015	7.369864	-1.428826	TAGLN	transgelin
8173713	1.22e-06	1.15e-07	6.366906	7.369507	0.88576	MAGT1	magnesium transporter 1
8145660	1.23e-06	1.16e-07	6.363875	7.359578	1.150243	DCTN6	dynactin subunit 6
8063607	1.24e-06	1.16e-07	6.363331	7.357794	0.597162	RAB22A	RAB22A, member RAS oncogene family
8017186	1.24e-06	1.16e-07	6.36297	7.356612	0.732353	HEATR6	HEAT repeat containing 6
8001507	1.24e-06	1.16e-07	6.3626	7.355399	1.029406	BBS2	Bardet-Biedl syndrome 2
8120552	1.24e-06	1.17e-07	6.362014	7.353482	0.974355	FAM135A	family with sequence similarity 135 member A
8114900	1.24e-06	1.17e-07	6.361584	7.352072	1.008054	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta
8080168	1.24e-06	1.17e-07	6.360207	7.34756	0.566338	ACY1	aminoacylase 1
7957032	1.25e-06	1.18e-07	6.358505	7.341985	1.151966	YEATS4	YEATS domain containing 4
8142332	1.25e-06	1.18e-07	6.358066	7.340547	0.788198	IMMP2L	inner mitochondrial membrane peptidase subunit 2
8092328	1.25e-06	1.18e-07	6.35775	7.339513	1.021033	MCCC1	methylcrotonoyl-CoA carboxylase 1
8123038	1.25e-06	1.18e-07	6.357701	7.339351	1.111309	GTF2H5	general transcription factor IIH subunit 5
8105267	1.26e-06	1.19e-07	6.354721	7.329588	1.165366	ITGA2	integrin subunit alpha 2
7951554	1.27e-06	1.20e-07	6.354244	7.328026	1.328623	RDX	radixin
8104321	1.27e-06	1.20e-07	-6.354132	7.327658	-0.57571	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16
7979044	1.27e-06	1.20e-07	6.352876	7.323544	0.688542	NIN	ninein
8080562	1.27e-06	1.20e-07	-6.352529	7.322406	-0.628501	IL17RB	interleukin 17 receptor B
7910640	1.27e-06	1.20e-07	6.352081	7.320941	0.878958	GGPS1	geranylgeranyl diphosphate synthase 1
7941311	1.27e-06	1.21e-07	6.351348	7.318538	0.502158	EHBP1L1///SIPA1	EH domain binding protein 1 like 1///signal-induced proliferation-associated 1
7921909	1.27e-06	1.21e-07	-6.351082	7.317665	-0.889138	CCDC190	coiled-coil domain containing 190
8174820	1.29e-06	1.23e-07	6.346914	7.304013	0.750934	C1GALT1C1	C1GALT1 specific chaperone 1
8021496	1.29e-06	1.23e-07	6.346598	7.302976	0.775507	KIAA1468	KIAA1468
8067233	1.32e-06	1.25e-07	6.340308	7.282373	1.194964	PMEPA1	prostate transmembrane protein, androgen induced 1
8028172	1.32e-06	1.26e-07	6.338723	7.277178	0.625203	CAPNS1	calpain small subunit 1
8109563	1.33e-06	1.26e-07	-6.338231	7.275566	-0.783202	NIPAL4	NIPA like domain containing 4
7899057	1.33e-06	1.26e-07	6.338059	7.275003	0.622155	MTFR1L	mitochondrial fission regulator 1 like
7962312	1.33e-06	1.26e-07	-6.337511	7.273208	-0.834467	ABCD2	ATP binding cassette subfamily D member 2
8105229	1.33e-06	1.26e-07	6.337366	7.272734	0.955636	PELO///ITGA1	pelota homolog (Drosophila)///integrin subunit alpha 1
8042373	1.33e-06	1.27e-07	6.337164	7.272073	1.424989	ETAA1	Ewing tumor associated antigen 1
8152750	1.33e-06	1.27e-07	6.335905	7.267948	0.571396	TMEM65	transmembrane protein 65
7916643	1.34e-06	1.28e-07	6.334365	7.262904	0.692666	TM2D1	TM2 domain containing 1
7923489	1.35e-06	1.28e-07	6.332607	7.257145	0.697781	KLHL12	kelch like family member 12
7988876	1.35e-06	1.29e-07	-6.332225	7.255892	-0.881216	MYO5C	myosin VC
8163452	1.35e-06	1.30e-07	6.330177	7.249184	0.82273	FKBP15	FK506 binding protein 15
7978492	1.36e-06	1.30e-07	6.329682	7.24756	0.963877	HEATR5A	HEAT repeat containing 5A
8097256	1.36e-06	1.30e-07	6.329669	7.247518	0.875699	FGF2	fibroblast growth factor 2
8069676	1.36e-06	1.30e-07	-6.328016	7.242103	-1.540347	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
8101511	1.36e-06	1.31e-07	6.327679	7.241	0.954869	WDFY3	WD repeat and FYVE domain containing 3
8119198	1.37e-06	1.31e-07	6.325654	7.234368	0.731638	CMTR1	cap methyltransferase 1
7996345	1.38e-06	1.32e-07	6.324541	7.23072	0.524549	CES2	carboxylesterase 2
8054344	1.38e-06	1.32e-07	-6.323585	7.227589	-0.611277	RFX8	RFX family member 8, lacking RFX DNA binding domain
8170119	1.38e-06	1.33e-07	-6.322442	7.223843	-1.087651	FHL1	four and a half LIM domains 1
8162777	1.39e-06	1.33e-07	-6.321316	7.220155	-0.546171	GABBR2	gamma-aminobutyric acid type B receptor subunit 2
7915160	1.39e-06	1.34e-07	6.320617	7.217865	0.795642	RRAGC	Ras related GTP binding C
8139411	1.39e-06	1.34e-07	6.320357	7.217013	0.998758	TMED4	transmembrane p24 trafficking protein 4
8050128	1.39e-06	1.34e-07	6.319527	7.214296	0.866089	KIDINS220	kinase D-interacting substrate 220kDa
8001211	1.40e-06	1.35e-07	6.318522	7.211004	1.243824	ITFG1	integrin alpha FG-GAP repeat containing 1
7899604	1.40e-06	1.35e-07	6.318207	7.209971	1.225895	ZCCHC17	zinc finger CCHC-type containing 17
7952290	1.40e-06	1.35e-07	-6.31802	7.20936	-0.684085	TRIM29	tripartite motif containing 29
8115490	1.40e-06	1.35e-07	-6.317468	7.207549	-1.167095	ADAM19	ADAM metallopeptidase domain 19
7930139	1.40e-06	1.35e-07	6.317411	7.207362	0.901156	TRIM8	tripartite motif containing 8
7925250	1.40e-06	1.35e-07	-6.317113	7.206386	-0.534147	GNG4	G protein subunit gamma 4
8166028	1.40e-06	1.35e-07	-6.317104	7.206357	-0.555388	FRMPD4	FERM and PDZ domain containing 4
7927606	1.40e-06	1.36e-07	-6.316113	7.203112	-0.938746	PRKG1	protein kinase, cGMP-dependent, type I
7979732	1.41e-06	1.36e-07	6.314569	7.198054	0.774031	VTI1B	vesicle transport through interaction with t-SNAREs 1B
8039144	1.41e-06	1.36e-07	-6.314442	7.197639	-0.734616	TMC4	transmembrane channel like 4
7903920	1.41e-06	1.36e-07	-6.314437	7.197623	-1.678519	CHI3L2	chitinase 3 like 2
8008768	1.41e-06	1.37e-07	-6.314157	7.196705	-0.632371	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E
8130464	1.41e-06	1.37e-07	6.313707	7.19523	0.862352	TMEM242	transmembrane protein 242
8163807	1.41e-06	1.37e-07	6.313432	7.194329	0.644463	PHF19	PHD finger protein 19
8000467	1.41e-06	1.37e-07	-6.312792	7.192233	-0.510347	GSG1L	GSG1 like
8166805	1.41e-06	1.37e-07	6.312571	7.191508	0.842639	ATP6AP2	ATPase H+ transporting accessory protein 2
7983779	1.41e-06	1.37e-07	-6.31247	7.191179	-0.68636	UNC13C///UNC13C	unc-13 homolog C///unc-13 homolog C
7901513	1.41e-06	1.37e-07	6.312238	7.190419	0.900489	SCP2	sterol carrier protein 2
8096919	1.41e-06	1.38e-07	6.311978	7.189566	0.760687	ALPK1	alpha kinase 1
8051464	1.41e-06	1.38e-07	6.311772	7.18889	0.856305	HEATR5B	HEAT repeat containing 5B
7952453	1.41e-06	1.38e-07	-6.311454	7.187849	-0.522593	ROBO4	roundabout guidance receptor 4
8104492	1.41e-06	1.38e-07	-6.311087	7.186647	-0.553942	ROPN1L	rhophilin associated tail protein 1 like
8112342	1.42e-06	1.38e-07	-6.310408	7.184422	-0.694124	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6
7989887	1.42e-06	1.39e-07	-6.310023	7.183162	-0.496562	MEGF11	multiple EGF like domains 11
7935613	1.42e-06	1.39e-07	-6.309897	7.182748	-0.938677	HPSE2	heparanase 2 (inactive)
8118556	1.42e-06	1.39e-07	6.308382	7.177788	1.887981	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1
8049246	1.42e-06	1.39e-07	6.308317	7.177575	1.349855	INPP5D	inositol polyphosphate-5-phosphatase D
7983527	1.43e-06	1.40e-07	6.30769	7.175521	1.039842	SEMA6D	semaphorin 6D
7924996	1.43e-06	1.40e-07	6.306838	7.172729	0.995777	C1orf198	chromosome 1 open reading frame 198
8105852	1.43e-06	1.40e-07	6.306725	7.172359	1.323273	MRPS36	mitochondrial ribosomal protein S36
7981111	1.43e-06	1.40e-07	6.305867	7.16955	0.837224	DICER1	dicer 1, ribonuclease III
8050894	1.43e-06	1.41e-07	6.305592	7.168648	0.74741	KIF3C	kinesin family member 3C
8166447	1.44e-06	1.41e-07	-6.304483	7.165015	-0.689043	PTCHD1	patched domain containing 1
8163599	1.45e-06	1.42e-07	-6.301585	7.155523	-0.531622	WHRN	whirlin
7968851	1.45e-06	1.43e-07	-6.30092	7.153344	-0.460144	TNFSF11	tumor necrosis factor superfamily member 11
7905099	1.46e-06	1.43e-07	6.29967	7.149251	0.980189	VPS45	vacuolar protein sorting 45 homolog
8162624	1.46e-06	1.43e-07	6.299481	7.148629	1.309547	AAED1	AhpC/TSA antioxidant enzyme domain containing 1
7969096	1.46e-06	1.44e-07	6.299279	7.147969	0.732982	CDADC1	cytidine and dCMP deaminase domain containing 1
8171901	1.46e-06	1.44e-07	6.298949	7.146888	0.692915	TAB3	TGF-beta activated kinase 1/MAP3K7 binding protein 3
7976681	1.46e-06	1.44e-07	-6.298005	7.143796	-0.519687	CYP46A1	cytochrome P450 family 46 subfamily A member 1
8014282	1.46e-06	1.44e-07	6.297775	7.143044	0.767147	MMP28	matrix metallopeptidase 28
7936673	1.46e-06	1.45e-07	6.297266	7.141374	1.006759	RGS10	regulator of G-protein signaling 10
8168875	1.47e-06	1.45e-07	6.296763	7.139729	0.845333	ARMCX3	armadillo repeat containing, X-linked 3
7905299	1.47e-06	1.45e-07	6.29618	7.137817	0.822132	PRUNE1	prune exopolyphosphatase
8155802	1.47e-06	1.45e-07	-6.295855	7.136753	-0.779528	GDA	guanine deaminase
8020889	1.47e-06	1.46e-07	6.294824	7.133376	0.665372	ZNF397	zinc finger protein 397
8063078	1.47e-06	1.46e-07	6.294296	7.131647	0.968986	CTSA	cathepsin A
7997032	1.47e-06	1.46e-07	-6.294042	7.130813	-0.567586	CLEC18B///CLEC18A///CLEC18C	C-type lectin domain family 18 member B///C-type lectin domain family 18 member A///C-type lectin domain family 18 member C
7998190	1.48e-06	1.46e-07	6.293472	7.128948	0.928319	RGS11	regulator of G-protein signaling 11
8149966	1.48e-06	1.47e-07	-6.292889	7.127039	-1.175352	SCARA5	scavenger receptor class A member 5
8148293	1.48e-06	1.47e-07	6.29278	7.126679	1.015995	NSMCE2	NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase
8157818	1.48e-06	1.47e-07	-6.292412	7.125474	-0.589957	WDR38	WD repeat domain 38
7947274	1.48e-06	1.47e-07	-6.292203	7.12479	-0.889226	MPPED2	metallophosphoesterase domain containing 2
7914530	1.48e-06	1.47e-07	6.292093	7.12443	0.572134	BSDC1	BSD domain containing 1
8046124	1.48e-06	1.47e-07	-6.29161	7.122848	-0.775009	DHRS9	dehydrogenase/reductase 9
7916135	1.49e-06	1.48e-07	6.289443	7.115749	0.548982	CC2D1B	coiled-coil and C2 domain containing 1B
8138745	1.50e-06	1.49e-07	-6.287141	7.108211	-0.587114	HOXA7	homeobox A7
8125713	1.50e-06	1.50e-07	6.286933	7.107527	0.576424	TAPBP	TAP binding protein (tapasin)
8033248	1.51e-06	1.50e-07	-6.285979	7.104402	-0.735004	TNFSF14	tumor necrosis factor superfamily member 14
8168420	1.51e-06	1.50e-07	-6.285651	7.103328	-0.779868	ZCCHC13	zinc finger CCHC-type containing 13
8085094	1.51e-06	1.50e-07	6.285095	7.101506	0.45868	SUMF1	sulfatase modifying factor 1
7909661	1.51e-06	1.51e-07	6.284632	7.09999	0.900272	RPS6KC1	ribosomal protein S6 kinase C1
8089954	1.52e-06	1.52e-07	6.282709	7.093693	0.759462	IQCB1	IQ motif containing B1
8135497	1.52e-06	1.52e-07	6.281683	7.09033	0.798888	ZNF277	zinc finger protein 277
7978123	1.52e-06	1.52e-07	6.281105	7.088439	0.830849	PSME2	proteasome activator subunit 2
7945781	1.54e-06	1.54e-07	-6.278114	7.078643	-0.549875	PHLDA2	pleckstrin homology like domain family A member 2
8174767	1.55e-06	1.55e-07	6.276605	7.073698	1.384838	TMEM255A	transmembrane protein 255A
8095163	1.56e-06	1.56e-07	6.274266	7.066038	0.900032	EXOC1	exocyst complex component 1
7897089	1.56e-06	1.56e-07	-6.274076	7.065415	-0.506783	PLCH2	phospholipase C eta 2
8011713	1.56e-06	1.56e-07	6.273502	7.063535	1.754534	CXCL16	C-X-C motif chemokine ligand 16
7930454	1.56e-06	1.57e-07	6.272275	7.059517	1.083142	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)
7962085	1.56e-06	1.57e-07	6.272123	7.05902	1.170763	IPO8	importin 8
8071086	1.57e-06	1.57e-07	-6.271571	7.057212	-0.688235	CECR2	CECR2, histone acetyl-lysine reader
8113157	1.57e-06	1.58e-07	6.270251	7.052887	1.270881	TTC37	tetratricopeptide repeat domain 37
8145652	1.58e-06	1.59e-07	6.269327	7.049861	0.933759	LEPROTL1	leptin receptor overlapping transcript-like 1
8132097	1.58e-06	1.59e-07	-6.268496	7.04714	-0.559237	INMT-FAM188B///FAM188B	INMT-FAM188B readthrough (NMD candidate)///family with sequence similarity 188 member B
8112687	1.59e-06	1.60e-07	6.266641	7.041064	0.888014	COL4A3BP	collagen type IV alpha 3 binding protein
7906852	1.59e-06	1.60e-07	6.266257	7.039805	0.783233	UHMK1	U2AF homology motif (UHM) kinase 1
7953040	1.59e-06	1.61e-07	-6.265673	7.037894	-0.638415	CACNA1C	calcium voltage-gated channel subunit alpha1 C
7985310	1.60e-06	1.61e-07	-6.264735	7.034819	-0.326453	ABHD17C	abhydrolase domain containing 17C
8169519	1.60e-06	1.61e-07	6.264579	7.034311	1.010948	WDR44	WD repeat domain 44
8160011	1.60e-06	1.61e-07	6.264086	7.032693	1.06756	KIAA2026	KIAA2026
8118863	1.60e-06	1.62e-07	6.262742	7.028294	0.908733	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A
8152280	1.60e-06	1.62e-07	6.262646	7.027978	1.006505	LRP12	LDL receptor related protein 12
8014361	1.60e-06	1.62e-07	-6.262255	7.026698	-0.694323	CCL23	C-C motif chemokine ligand 23
7948221	1.61e-06	1.63e-07	-6.260815	7.021981	-0.596629	PRG2	proteoglycan 2, pro eosinophil major basic protein
7902382	1.61e-06	1.63e-07	6.260777	7.021856	1.235518	RABGGTB	Rab geranylgeranyltransferase beta subunit
8035083	1.62e-06	1.64e-07	-6.259353	7.017193	-0.651972	CYP4F2	cytochrome P450 family 4 subfamily F member 2
8013431	1.62e-06	1.64e-07	6.258849	7.015543	0.902624	AKAP10	A-kinase anchoring protein 10
8170428	1.62e-06	1.64e-07	6.258849	7.015541	1.068938	MTM1	myotubularin 1
8163936	1.63e-06	1.65e-07	-6.256826	7.008915	-0.621122	LHX6	LIM homeobox 6
8058118	1.63e-06	1.66e-07	6.25585	7.00572	0.601307	KCTD18	potassium channel tetramerization domain containing 18
7964203	1.64e-06	1.67e-07	6.253761	6.998877	0.679102	BAZ2A	bromodomain adjacent to zinc finger domain 2A
8154245	1.65e-06	1.67e-07	6.253043	6.996527	1.112739	PDCD1LG2	programmed cell death 1 ligand 2
8065855	1.65e-06	1.68e-07	6.251518	6.991532	0.752583	EDEM2	ER degradation enhancing alpha-mannosidase like protein 2
8113623	1.66e-06	1.69e-07	6.250539	6.988327	0.694756	TMED7-TICAM2///TICAM2///TMED7	TMED7-TICAM2 readthrough///toll like receptor adaptor molecule 2///transmembrane p24 trafficking protein 7
8040430	1.68e-06	1.71e-07	-6.246394	6.974751	-1.084768	VSNL1	visinin like 1
7947590	1.69e-06	1.72e-07	-6.245076	6.970434	-0.481422	SYT13	synaptotagmin 13
8012383	1.69e-06	1.72e-07	6.244757	6.969388	0.727591	TMEM107	transmembrane protein 107
8116372	1.69e-06	1.72e-07	6.244361	6.968094	1.086543	RNF130	ring finger protein 130
7949857	1.70e-06	1.74e-07	-6.242116	6.960739	-0.520262	NUDT8	nudix hydrolase 8
8065668	1.71e-06	1.74e-07	6.240697	6.956093	0.510475	CDK5RAP1	CDK5 regulatory subunit associated protein 1
