GSE39645,TSPAN1,-1.006821,1.29E-14,3.15E-12,-11.514268,Down
GSE39645,ZNF347,2.2414,1.31E-14,3.15E-12,11.509003,Up
GSE39645,GFRA1,2.166393,1.45E-14,3.44E-12,11.473106,Up
GSE39645,AK3,1.161903,1.47E-14,3.44E-12,11.467691,Up
GSE39645,SORCS1,2.406288,1.57E-14,3.61E-12,11.443664,Up
GSE39645,MARCH1,1.922975,1.58E-14,3.61E-12,11.442121,Up
GSE39645,AFDN,-1.54284,1.87E-14,4.17E-12,-11.382777,Down
GSE39645,RAB3C,-1.270516,1.87E-14,4.17E-12,-11.38153,Down
GSE39645,FCGR3A,3.07587,2.11E-14,4.64E-12,11.339071,Up
GSE39645,TUBB2B,1.691209,2.31E-14,5.01E-12,11.307243,Up
GSE39645,NRCAM,2.457404,2.34E-14,5.02E-12,11.302587,Up
GSE39645,LGALS3BP,1.704755,2.43E-14,5.16E-12,11.288582,Up
GSE39645,AHR,1.855129,2.57E-14,5.39E-12,11.269208,Up
GSE39645,HPS5,1.678939,2.83E-14,5.85E-12,11.235854,Up
GSE39645,MCAM,1.916225,3.16E-14,6.46E-12,11.19712,Up
GSE39645,RAB31,1.576651,3.43E-14,6.93E-12,11.168258,Up
GSE39645,MFSD11,1.173581,3.58E-14,7.14E-12,11.153207,Up
GSE39645,SPATA18,1.789615,3.61E-14,7.14E-12,11.149778,Up
GSE39645,TMEM245,1.331142,3.76E-14,7.36E-12,11.135359,Up
GSE39645,ARSK,1.622431,3.87E-14,7.36E-12,11.12564,Up
GSE39645,CYB5R1///CYB5R1,1.170689,3.88E-14,7.36E-12,11.124661,Up
GSE39645,SEMA3B,2.376438,3.89E-14,7.36E-12,11.123423,Up
GSE39645,DHRS3,1.38574,5.27E-14,9.86E-12,11.017641,Up
GSE39645,CCDC184,1.573355,5.37E-14,9.95E-12,11.01086,Up
GSE39645,APOL4,-1.313206,5.79E-14,1.06E-11,-10.985004,Down
GSE39645,GAL3ST4,1.345096,6.42E-14,1.16E-11,10.948777,Up
GSE39645,TMEM62,1.146502,6.6E-14,1.18E-11,10.939304,Up
GSE39645,P2RY12,2.6261,6.89E-14,1.22E-11,10.924355,Up
GSE39645,NGEF,-0.778591,7E-14,1.23E-11,-10.919057,Down
GSE39645,ST3GAL6,1.847776,7.3E-14,1.27E-11,10.904578,Up
GSE39645,FABP4,-4.046474,7.45E-14,1.28E-11,-10.897432,Down
GSE39645,OSTM1,1.231134,7.52E-14,1.28E-11,10.893861,Up
