geo_id,gene_symbol,logFC,p_value,adj_p_value,t_stat,regulation
GSE39645,CELF4,-0.515823,2.71E-06,1.58E-05,-5.413796,Down
GSE39645,ADRA2B,-0.482013,2.71E-06,1.58E-05,-5.413327,Down
GSE39645,ANK2,1.234363,2.71E-06,1.58E-05,5.413214,Up
GSE39645,ENTPD8,-0.552854,2.71E-06,1.58E-05,-5.412732,Down
GSE39645,LINGO1,-0.396963,2.72E-06,1.58E-05,-5.41246,Down
GSE39645,STX16-NPEPL1///STX16,0.574751,2.72E-06,1.58E-05,5.412456,Up
GSE39645,FBXL20,0.595323,2.72E-06,1.58E-05,5.41212,Up
GSE39645,NR2E1,-0.559378,2.72E-06,1.58E-05,-5.411836,Down
GSE39645,NT5C1A,-0.478095,2.72E-06,1.58E-05,-5.411753,Down
GSE39645,ZNF506,0.790951,2.73E-06,1.58E-05,5.411416,Up
GSE39645,LRRC58,0.760757,2.74E-06,1.59E-05,5.409904,Up
GSE39645,HID1,-0.58226,2.74E-06,1.59E-05,-5.409626,Down
GSE39645,IMPACT,0.802466,2.74E-06,1.59E-05,5.409621,Up
GSE39645,HCN2,-0.354198,2.75E-06,1.59E-05,-5.409325,Down
GSE39645,FAM43B,-0.426428,2.75E-06,1.6E-05,-5.408493,Down
GSE39645,MS4A4A,1.610767,2.76E-06,1.6E-05,5.407449,Up
GSE39645,ANKRD10,0.802334,2.76E-06,1.6E-05,5.407411,Up
GSE39645,MTFMT,0.725974,2.76E-06,1.6E-05,5.407291,Up
GSE39645,LY6G6C,-0.598952,2.77E-06,1.6E-05,-5.406714,Down
GSE39645,HERPUD1,0.72159,2.78E-06,1.61E-05,5.40576,Up
GSE39645,HDHD2,0.883455,2.78E-06,1.61E-05,5.405056,Up
GSE39645,CD2AP,0.786253,2.79E-06,1.61E-05,5.404666,Up
GSE39645,SLC30A6,0.938405,2.79E-06,1.61E-05,5.404463,Up
GSE39645,PIGQ,0.629119,2.79E-06,1.61E-05,5.404354,Up
GSE39645,CNDP2,0.908201,2.79E-06,1.61E-05,5.404164,Up
GSE39645,SACM1L,0.763532,2.8E-06,1.62E-05,5.403078,Up
GSE39645,FRS2,1.139712,2.81E-06,1.62E-05,5.402461,Up
GSE39645,NTSR2,-0.470539,2.81E-06,1.62E-05,-5.402341,Down
GSE39645,MOSPD3,0.340457,2.81E-06,1.62E-05,5.40234,Up
GSE39645,UGT3A2,-0.694425,2.81E-06,1.62E-05,-5.401941,Down
GSE39645,QRFP,-0.447971,2.81E-06,1.62E-05,-5.401827,Down
GSE39645,FLRT2,-1.375775,2.82E-06,1.63E-05,-5.401247,Down
GSE39645,NVL,0.659492,2.82E-06,1.63E-05,5.401054,Up
GSE39645,WDR19,0.951946,2.82E-06,1.63E-05,5.400746,Up
GSE39645,LZIC,0.773688,2.83E-06,1.63E-05,5.400316,Up
GSE39645,TCL1A,-0.536321,2.83E-06,1.63E-05,-5.399768,Down
GSE39645,NUP160,0.651449,2.85E-06,1.64E-05,5.398496,Up
GSE39645,ATG5,0.667146,2.85E-06,1.64E-05,5.398018,Up
GSE39645,3,0.771426,2.85E-06,1.64E-05,5.397925,Up
GSE39645,SUPV3L1,0.611256,2.86E-06,1.64E-05,5.39712,Up
GSE39645,ATP6V1H,0.675634,2.86E-06,1.64E-05,5.396937,Up
GSE39645,GPC6,-1.190638,2.86E-06,1.64E-05,-5.396669,Down
GSE39645,JPH4,-0.38789,2.86E-06,1.65E-05,-5.396468,Down
GSE39645,YIPF4,0.490762,2.87E-06,1.65E-05,5.396333,Up
GSE39645,RNF13,0.611477,2.87E-06,1.65E-05,5.39554,Up
GSE39645,PHYKPL,0.435115,2.88E-06,1.65E-05,5.395088,Up
GSE39645,LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1,1.372612,2.88E-06,1.65E-05,5.395006,Up
GSE39645,CPSF2,0.943761,2.88E-06,1.65E-05,5.394685,Up
GSE39645,GPR3,-0.574729,2.89E-06,1.66E-05,-5.393245,Down
GSE39645,IFT52,0.700793,2.9E-06,1.66E-05,5.392678,Up
GSE39645,ANAPC4,0.730067,2.9E-06,1.66E-05,5.392516,Up
GSE39645,TNFAIP8L3,-0.609472,2.9E-06,1.66E-05,-5.392314,Down
GSE39645,SLC25A12,0.700091,2.92E-06,1.67E-05,5.39072,Up
GSE39645,KIF25,-0.506291,2.92E-06,1.67E-05,-5.390474,Down
GSE39645,EXOC3,0.55328,2.93E-06,1.67E-05,5.39001,Up
GSE39645,CRIP3///CRIP3,-0.584965,2.93E-06,1.67E-05,-5.389909,Down
GSE39645,CNTRL,0.73061,2.93E-06,1.67E-05,5.389568,Up
GSE39645,ZFP57,-0.661764,2.93E-06,1.67E-05,-5.389539,Down
GSE39645,FAM96A,0.927394,2.93E-06,1.67E-05,5.389457,Up
GSE39645,OLFM1,0.651194,2.93E-06,1.68E-05,5.389216,Up
GSE39645,RAD54L,-0.592243,2.96E-06,1.69E-05,-5.386906,Down
GSE39645,SHANK1,-0.405132,2.96E-06,1.69E-05,-5.386484,Down
GSE39645,GP5,-0.360991,2.96E-06,1.69E-05,-5.386465,Down
GSE39645,MED4,0.981407,2.96E-06,1.69E-05,5.386379,Up
GSE39645,ZNF528,0.643064,2.97E-06,1.69E-05,5.385901,Up
GSE39645,PLA2G4D,-0.537171,2.97E-06,1.69E-05,-5.385782,Down
GSE39645,COMMD1,0.592506,2.97E-06,1.69E-05,5.385772,Up
GSE39645,DNMT3B,-0.398625,2.97E-06,1.69E-05,-5.385608,Down
GSE39645,TMEM179B,0.402265,2.98E-06,1.7E-05,5.384628,Up
GSE39645,PCGF5,0.838923,2.98E-06,1.7E-05,5.384424,Up
GSE39645,KCNG3,-0.430685,2.98E-06,1.7E-05,-5.384126,Down
GSE39645,TMEM241,0.495837,2.99E-06,1.7E-05,5.383798,Up
GSE39645,HLA-F///HLA-B,0.80278,2.99E-06,1.7E-05,5.383652,Up
GSE39645,MRPS6///SLC5A3,0.749825,2.99E-06,1.7E-05,5.383073,Up
GSE39645,SOWAHA,-0.37955,3E-06,1.7E-05,-5.382826,Down
GSE39645,SNX19,0.684073,3E-06,1.7E-05,5.382604,Up
GSE39645,PRAME,-0.585944,3E-06,1.7E-05,-5.38233,Down
GSE39645,ATP1B2,1.366805,3E-06,1.71E-05,5.382061,Up
GSE39645,FRMD7,-0.711241,3.01E-06,1.71E-05,-5.381242,Down
GSE39645,FRMD8,0.749947,3.02E-06,1.71E-05,5.380724,Up
GSE39645,CCDC90B,0.713596,3.02E-06,1.71E-05,5.38058,Up
GSE39645,TIGD3,-0.40709,3.02E-06,1.71E-05,-5.380474,Down
GSE39645,FAM50B,0.415389,3.02E-06,1.71E-05,5.380055,Up
GSE39645,CITED1,-0.528668,3.02E-06,1.71E-05,-5.379935,Down
GSE39645,PARVG,1.311118,3.02E-06,1.71E-05,5.37989,Up
GSE39645,FAM198A,-0.544558,3.03E-06,1.71E-05,-5.379784,Down
GSE39645,SPRY3,-0.512864,3.04E-06,1.72E-05,-5.378844,Down
GSE39645,KAZN,-0.482966,3.04E-06,1.72E-05,-5.378488,Down
GSE39645,DEFA5,-0.567488,3.05E-06,1.72E-05,-5.377707,Down
GSE39645,GNPAT,1.005184,3.05E-06,1.73E-05,5.377064,Up
GSE39645,EFCC1,-0.521615,3.06E-06,1.73E-05,-5.376551,Down
GSE39645,SNAPC3,0.768228,3.07E-06,1.74E-05,5.375339,Up
GSE39645,PHOX2B,-0.449195,3.07E-06,1.74E-05,-5.374971,Down
GSE39645,SETDB1,0.73249,3.08E-06,1.74E-05,5.374878,Up
GSE39645,CRYM,-0.54712,3.08E-06,1.74E-05,-5.374816,Down
GSE39645,COQ5,0.687547,3.08E-06,1.74E-05,5.374657,Up
GSE39645,HRK,-0.470222,3.08E-06,1.74E-05,-5.374653,Down
GSE39645,TNNT1,-0.596093,3.08E-06,1.74E-05,-5.374381,Down
GSE39645,LMX1A,-0.615527,3.09E-06,1.74E-05,-5.373871,Down
GSE39645,MID1IP1,0.869593,3.09E-06,1.74E-05,5.373613,Up
GSE39645,ARAP2,1.362591,3.09E-06,1.74E-05,5.373375,Up
GSE39645,NR1D2,0.901593,3.09E-06,1.74E-05,5.37318,Up
GSE39645,TAF12,0.795544,3.1E-06,1.75E-05,5.372597,Up
GSE39645,REST,0.521963,3.1E-06,1.75E-05,5.372058,Up
GSE39645,TNFAIP8L2-SCNM1///SCNM1,0.489404,3.11E-06,1.75E-05,5.371817,Up
GSE39645,CAPN7,0.799969,3.11E-06,1.75E-05,5.371383,Up
GSE39645,PPM1H,-0.459,3.11E-06,1.75E-05,-5.371352,Down
GSE39645,MYBL2,-0.73506,3.11E-06,1.75E-05,-5.371003,Down
GSE39645,HLCS,0.718374,3.12E-06,1.75E-05,5.37056,Up
GSE39645,CAPN13,-0.567443,3.14E-06,1.76E-05,-5.368966,Down
GSE39645,CROT,0.750718,3.14E-06,1.76E-05,5.368723,Up
GSE39645,HSPB3,-0.745172,3.14E-06,1.76E-05,-5.36858,Down
GSE39645,DSC3,-0.510917,3.14E-06,1.76E-05,-5.368478,Down
GSE39645,ZSCAN30,0.52304,3.15E-06,1.77E-05,5.367381,Up
GSE39645,NUDT10,-0.490898,3.16E-06,1.77E-05,-5.366887,Down
GSE39645,MAP3K12,0.789513,3.16E-06,1.77E-05,5.366856,Up
GSE39645,DNAJC6,0.938653,3.16E-06,1.77E-05,5.36615,Up
GSE39645,HSPE1-MOB4///MOB4,0.808636,3.17E-06,1.78E-05,5.36597,Up
GSE39645,MEGF9,0.91345,3.17E-06,1.78E-05,5.365217,Up
GSE39645,KIF2C,-0.79267,3.18E-06,1.78E-05,-5.365032,Down
GSE39645,GPR107,0.579469,3.18E-06,1.78E-05,5.364891,Up
GSE39645,YTHDF3,0.782737,3.18E-06,1.78E-05,5.36488,Up
GSE39645,PRPF4B,0.756684,3.19E-06,1.78E-05,5.363912,Up
GSE39645,FGF5,-1.019153,3.19E-06,1.79E-05,-5.363675,Down
GSE39645,ARMCX6,0.934955,3.19E-06,1.79E-05,5.36332,Up
GSE39645,CCK,-0.564486,3.2E-06,1.79E-05,-5.363116,Down
GSE39645,SUSD1,0.756214,3.2E-06,1.79E-05,5.363035,Up
GSE39645,VAT1,0.465019,3.2E-06,1.79E-05,5.362392,Up
GSE39645,C12orf60,0.7515,3.22E-06,1.8E-05,5.361384,Up
GSE39645,NXNL2,-0.48141,3.22E-06,1.8E-05,-5.361288,Down
GSE39645,ENTPD4,0.653815,3.22E-06,1.8E-05,5.361245,Up
GSE39645,GBA2,0.527131,3.22E-06,1.8E-05,5.360843,Up
GSE39645,AHCTF1P1///AHCTF1,0.77166,3.23E-06,1.8E-05,5.360135,Up
GSE39645,KRT32,-0.529942,3.23E-06,1.8E-05,-5.359669,Down
GSE39645,ZSCAN9,0.497188,3.25E-06,1.81E-05,5.357787,Up
GSE39645,ZFP69,0.557652,3.26E-06,1.81E-05,5.357594,Up
GSE39645,SLC38A7,0.468533,3.26E-06,1.82E-05,5.35691,Up
GSE39645,GATA2,0.80853,3.27E-06,1.82E-05,5.356056,Up
GSE39645,RAB5A,0.771461,3.28E-06,1.83E-05,5.354906,Up
GSE39645,LAMTOR1,0.732305,3.29E-06,1.83E-05,5.354657,Up
GSE39645,PMVK,0.540126,3.29E-06,1.83E-05,5.35442,Up
GSE39645,DHX29,1.059476,3.29E-06,1.83E-05,5.354349,Up
GSE39645,ZDHHC19,-0.487104,3.3E-06,1.83E-05,-5.353868,Down
GSE39645,ZCCHC5,-0.576733,3.3E-06,1.83E-05,-5.35378,Down
GSE39645,PPIL3,0.822469,3.3E-06,1.83E-05,5.353705,Up
GSE39645,DMBX1,-0.519072,3.31E-06,1.84E-05,-5.3527,Down
GSE39645,UBE2E1,0.660818,3.31E-06,1.84E-05,5.352515,Up
GSE39645,PARN,0.896733,3.32E-06,1.84E-05,5.351837,Up
GSE39645,NECAB2,-0.491921,3.32E-06,1.84E-05,-5.351593,Down
GSE39645,COPS2,0.949817,3.32E-06,1.84E-05,5.3515,Up
GSE39645,MYOF,1.055431,3.32E-06,1.84E-05,5.351177,Up
GSE39645,TBC1D9B,0.807775,3.33E-06,1.85E-05,5.351012,Up
GSE39645,MALSU1,0.617715,3.33E-06,1.85E-05,5.350769,Up
GSE39645,GPR139,-0.59292,3.33E-06,1.85E-05,-5.350764,Down
GSE39645,CACNA1G,-0.411312,3.33E-06,1.85E-05,-5.350378,Down
GSE39645,NME9,-0.619862,3.34E-06,1.85E-05,-5.349482,Down
GSE39645,IPO13,0.740344,3.35E-06,1.85E-05,5.349189,Up
GSE39645,LCN12,-0.51117,3.36E-06,1.86E-05,-5.348326,Down
GSE39645,SAMD11,-0.485567,3.37E-06,1.86E-05,-5.347468,Down
GSE39645,TMC1,-0.666758,3.37E-06,1.87E-05,-5.346719,Down
GSE39645,DAP3,0.870819,3.38E-06,1.87E-05,5.345918,Up
GSE39645,ASIC4,-0.478274,3.39E-06,1.87E-05,-5.345638,Down
GSE39645,ING3,0.679614,3.39E-06,1.87E-05,5.345502,Up
GSE39645,LIPG,-0.730319,3.39E-06,1.87E-05,-5.345163,Down
GSE39645,GH2,-0.600269,3.39E-06,1.87E-05,-5.345141,Down
GSE39645,ANKFY1,0.854417,3.39E-06,1.87E-05,5.344947,Up
GSE39645,ST14,1.599668,3.4E-06,1.88E-05,5.344261,Up
GSE39645,JOSD2,0.393967,3.4E-06,1.88E-05,5.344229,Up
GSE39645,MPI,0.541531,3.4E-06,1.88E-05,5.344206,Up
GSE39645,SCNN1A,-0.486393,3.4E-06,1.88E-05,-5.344172,Down
GSE39645,CAPZA2,1.012296,3.41E-06,1.88E-05,5.343349,Up
GSE39645,SLC22A11,-0.487227,3.41E-06,1.88E-05,-5.343304,Down
GSE39645,OXGR1,-0.386068,3.42E-06,1.88E-05,-5.342952,Down
GSE39645,CREBRF,0.627124,3.42E-06,1.88E-05,5.342549,Up
GSE39645,NRSN1,-0.573389,3.43E-06,1.89E-05,-5.341986,Down
GSE39645,STAB2,-0.704453,3.43E-06,1.89E-05,-5.341875,Down
GSE39645,COG5,0.664299,3.45E-06,1.9E-05,5.339918,Up
GSE39645,DEFA1B///DEFA3///DEFA1,-1.319339,3.46E-06,1.9E-05,-5.339013,Down
GSE39645,ZNF616,0.577705,3.46E-06,1.9E-05,5.338737,Up
GSE39645,CLEC7A,0.938899,3.47E-06,1.91E-05,5.338576,Up
GSE39645,ZNF562,0.688687,3.48E-06,1.91E-05,5.337166,Up
GSE39645,EFS,0.645445,3.49E-06,1.91E-05,5.336766,Up
GSE39645,C11orf63,0.881335,3.49E-06,1.91E-05,5.336749,Up
GSE39645,CCDC13,-0.492061,3.49E-06,1.92E-05,-5.336093,Down
GSE39645,TSPAN12,-0.892853,3.5E-06,1.92E-05,-5.335905,Down
GSE39645,MED7,0.747352,3.5E-06,1.92E-05,5.335343,Up
GSE39645,FOXL1,-0.425247,3.51E-06,1.93E-05,-5.334654,Down
GSE39645,MFSD5,0.886762,3.51E-06,1.93E-05,5.334652,Up
GSE39645,LMO4,0.975298,3.51E-06,1.93E-05,5.334286,Up
GSE39645,PCNX4,1.02143,3.52E-06,1.93E-05,5.333976,Up
GSE39645,SMIM15,1.038709,3.54E-06,1.94E-05,5.33249,Up
GSE39645,CEACAM4,-0.519532,3.55E-06,1.94E-05,-5.331573,Down
GSE39645,NDUFA9,0.621681,3.55E-06,1.94E-05,5.331259,Up
GSE39645,TUBA8,-0.451527,3.56E-06,1.95E-05,-5.330622,Down
GSE39645,UPB1,-0.399416,3.56E-06,1.95E-05,-5.330129,Down
GSE39645,HLA-H///HLA-G///HLA-C///HLA-A///HLA-A,0.421002,3.56E-06,1.95E-05,5.330115,Up
GSE39645,ZNF343,0.565055,3.57E-06,1.95E-05,5.329963,Up
GSE39645,AIP,0.745743,3.57E-06,1.95E-05,5.329884,Up
GSE39645,MYBPC3,-0.446102,3.57E-06,1.95E-05,-5.329485,Down
GSE39645,GTF2H3,0.838577,3.58E-06,1.95E-05,5.329091,Up
GSE39645,ZDHHC5,0.556548,3.58E-06,1.95E-05,5.329021,Up
GSE39645,EMC2,1.104145,3.6E-06,1.96E-05,5.327392,Up
GSE39645,SLC8A1,0.873755,3.6E-06,1.97E-05,5.326934,Up
GSE39645,PRM1,-0.786592,3.6E-06,1.97E-05,-5.326799,Down
GSE39645,ZBTB40,0.474139,3.6E-06,1.97E-05,5.326636,Up
GSE39645,ANKRD50,1.136645,3.61E-06,1.97E-05,5.325952,Up
GSE39645,SLC35F6,0.691681,3.62E-06,1.97E-05,5.325272,Up
GSE39645,MPO,-0.531036,3.63E-06,1.98E-05,-5.324517,Down
GSE39645,KLHL33,-0.579554,3.64E-06,1.98E-05,-5.323924,Down
GSE39645,WDR59,0.458692,3.64E-06,1.98E-05,5.323896,Up
GSE39645,MANEA,0.95113,3.65E-06,1.99E-05,5.323011,Up
GSE39645,SCYL1,0.590809,3.65E-06,1.99E-05,5.322513,Up
GSE39645,3,0.919483,3.66E-06,1.99E-05,5.322293,Up
GSE39645,GBP1P1///GBP3///GBP1,1.205771,3.66E-06,1.99E-05,5.322133,Up
GSE39645,ZNF211,0.61814,3.67E-06,1.99E-05,5.321427,Up
GSE39645,RNF111,0.594132,3.67E-06,2E-05,5.320761,Up
GSE39645,RNF186,-0.660626,3.68E-06,2E-05,-5.320582,Down
GSE39645,KRT73,-0.487772,3.68E-06,2E-05,-5.320384,Down
GSE39645,HAS1,-0.440124,3.68E-06,2E-05,-5.32016,Down
GSE39645,PURA,0.679986,3.68E-06,2E-05,5.320021,Up
GSE39645,WDR83OS,0.550983,3.69E-06,2E-05,5.319824,Up
GSE39645,AQP12B///AQP12A,-0.535484,3.69E-06,2E-05,-5.319413,Down
GSE39645,RAB7A,0.483126,3.7E-06,2.01E-05,5.318888,Up
GSE39645,PCDH11Y///PCDH11X,-0.444683,3.7E-06,2.01E-05,-5.318802,Down
GSE39645,BMP7,1.423099,3.7E-06,2.01E-05,5.318572,Up
GSE39645,SLF2,0.653621,3.71E-06,2.01E-05,5.318134,Up
GSE39645,FAM76B,0.66281,3.71E-06,2.01E-05,5.318093,Up
GSE39645,SEZ6L2,0.966284,3.71E-06,2.01E-05,5.318065,Up
GSE39645,HOXB8,-0.500825,3.72E-06,2.01E-05,-5.317213,Down
GSE39645,RABGAP1,0.737524,3.72E-06,2.02E-05,5.316814,Up
GSE39645,KRTAP10-11,-0.657481,3.72E-06,2.02E-05,-5.316703,Down
GSE39645,ZNF625-ZNF20///ZNF625,0.469095,3.73E-06,2.02E-05,5.316549,Up
GSE39645,CCIN,-0.570141,3.74E-06,2.02E-05,-5.315239,Down
GSE39645,MIA3,0.738529,3.75E-06,2.03E-05,5.314586,Up
GSE39645,PRSS22,-0.503876,3.75E-06,2.03E-05,-5.314351,Down
GSE39645,TMEM59,0.475505,3.76E-06,2.03E-05,5.313561,Up
GSE39645,ANKRD49,0.714959,3.77E-06,2.04E-05,5.312886,Up
GSE39645,PCDH1,0.484088,3.78E-06,2.04E-05,5.312073,Up
GSE39645,IL1RAPL1,0.945807,3.79E-06,2.04E-05,5.311634,Up
GSE39645,FAM45A///FAM45BP,0.649881,3.79E-06,2.04E-05,5.311603,Up
GSE39645,NUP188,0.773389,3.79E-06,2.04E-05,5.311446,Up
GSE39645,CHML,0.778297,3.79E-06,2.05E-05,5.311172,Up
GSE39645,MPP4,-0.887638,3.8E-06,2.05E-05,-5.310797,Down
GSE39645,ST6GALNAC1,-0.492805,3.8E-06,2.05E-05,-5.310585,Down
GSE39645,ACVRL1,-0.631927,3.8E-06,2.05E-05,-5.310569,Down
GSE39645,OASL,1.058258,3.8E-06,2.05E-05,5.310191,Up
GSE39645,CEP290,0.984301,3.81E-06,2.05E-05,5.30946,Up
GSE39645,SGK2,-0.766262,3.81E-06,2.05E-05,-5.309394,Down
GSE39645,FXR2,0.642248,3.83E-06,2.06E-05,5.307864,Up
GSE39645,RCN2,1.066544,3.84E-06,2.07E-05,5.307028,Up
GSE39645,ZNF114,-0.765964,3.86E-06,2.07E-05,-5.305944,Down
GSE39645,FCER1G,1.419838,3.86E-06,2.07E-05,5.305943,Up
GSE39645,OMA1,0.698156,3.86E-06,2.08E-05,5.305467,Up
GSE39645,MARCO,-0.89244,3.88E-06,2.08E-05,-5.304382,Down
GSE39645,MRVI1,-0.865162,3.88E-06,2.08E-05,-5.304343,Down
GSE39645,ZNF75A,0.618791,3.89E-06,2.09E-05,5.303553,Up
GSE39645,TTC17,0.606144,3.91E-06,2.1E-05,5.302268,Up
GSE39645,PPDPF,0.681818,3.91E-06,2.1E-05,5.302109,Up
GSE39645,CDH22,-0.39165,3.91E-06,2.1E-05,-5.301817,Down
GSE39645,KIF7,-0.371064,3.92E-06,2.1E-05,-5.301459,Down
GSE39645,PSMC1,0.43816,3.93E-06,2.11E-05,5.300418,Up
GSE39645,WBP1L,0.562718,3.93E-06,2.11E-05,5.30038,Up
GSE39645,CLCA4,-0.608096,3.93E-06,2.11E-05,-5.300005,Down
GSE39645,KIF26A,-0.415043,3.94E-06,2.11E-05,-5.299763,Down
GSE39645,PFKFB1,-0.701516,3.94E-06,2.11E-05,-5.2996,Down
GSE39645,MCTP1,-0.960181,3.95E-06,2.11E-05,-5.299025,Down
GSE39645,FGD1,-0.443348,3.95E-06,2.11E-05,-5.299013,Down
GSE39645,IL24,-0.627355,3.95E-06,2.11E-05,-5.298618,Down
GSE39645,PGLYRP1,-0.51982,3.97E-06,2.12E-05,-5.297586,Down
GSE39645,NINJ2,-0.484289,3.97E-06,2.12E-05,-5.297396,Down
GSE39645,ST8SIA4,1.014798,3.97E-06,2.12E-05,5.297244,Up
GSE39645,NLRP6,-0.44403,3.97E-06,2.12E-05,-5.296892,Down
GSE39645,KAT8,0.716351,3.98E-06,2.13E-05,5.296176,Up
GSE39645,LINC01600,-0.467769,4E-06,2.13E-05,-5.295168,Down
GSE39645,ALAD,0.70727,4E-06,2.14E-05,5.294698,Up
GSE39645,SCFD1,1.052926,4.02E-06,2.15E-05,5.293506,Up
GSE39645,PPIH,1.048063,4.03E-06,2.15E-05,5.292675,Up
GSE39645,CPE,-1.82381,4.03E-06,2.15E-05,-5.292641,Down
GSE39645,CCDC129,-0.647798,4.03E-06,2.15E-05,-5.292387,Down
GSE39645,HLA-H///HLA-C///HLA-B///HLA-A///HLA-A,0.516762,4.04E-06,2.15E-05,5.292248,Up
GSE39645,CEND1,-0.555195,4.04E-06,2.15E-05,-5.292084,Down
GSE39645,VMA21,0.407747,4.04E-06,2.15E-05,5.291968,Up
GSE39645,PIRT,-1.289586,4.05E-06,2.16E-05,-5.291202,Down
GSE39645,KRTAP4-2,-0.526392,4.05E-06,2.16E-05,-5.290945,Down
GSE39645,ST3GAL3,0.448479,4.06E-06,2.16E-05,5.290695,Up
GSE39645,TMEM205,0.640949,4.07E-06,2.16E-05,5.289926,Up
GSE39645,SYTL1,-0.484717,4.07E-06,2.16E-05,-5.289916,Down
GSE39645,TAPT1,0.73306,4.09E-06,2.17E-05,5.288219,Up
GSE39645,TGDS,0.775314,4.11E-06,2.19E-05,5.286699,Up
GSE39645,TMEM61,-0.506062,4.12E-06,2.19E-05,-5.286041,Down
GSE39645,WDR4,-0.463184,4.12E-06,2.19E-05,-5.285682,Down
GSE39645,HS6ST3,-0.604171,4.13E-06,2.19E-05,-5.285295,Down
GSE39645,LARP4,0.873198,4.13E-06,2.2E-05,5.284919,Up
GSE39645,DBT,0.546583,4.14E-06,2.2E-05,5.284533,Up
GSE39645,ADAM12,-1.320009,4.14E-06,2.2E-05,-5.284409,Down
GSE39645,CBR1,0.910755,4.16E-06,2.21E-05,5.282887,Up
GSE39645,SEMA6B,-0.647119,4.17E-06,2.21E-05,-5.282424,Down
GSE39645,CPB1,-0.706042,4.18E-06,2.21E-05,-5.281751,Down
GSE39645,DHRS2,-0.681226,4.18E-06,2.22E-05,-5.281281,Down
GSE39645,SUFU,0.534116,4.19E-06,2.22E-05,5.281127,Up
GSE39645,POMT1,0.498715,4.19E-06,2.22E-05,5.280991,Up
GSE39645,MSX1,-0.397002,4.2E-06,2.22E-05,-5.280249,Down
GSE39645,KIF24,-0.468453,4.2E-06,2.22E-05,-5.280216,Down
GSE39645,C5orf38,-0.535887,4.22E-06,2.24E-05,-5.27836,Down
GSE39645,NA,-0.427446,4.25E-06,2.25E-05,-5.276797,Down
GSE39645,GLYR1,0.587728,4.25E-06,2.25E-05,5.27679,Up
GSE39645,ACTR10,0.961367,4.25E-06,2.25E-05,5.276583,Up
GSE39645,FAM78A,0.91255,4.26E-06,2.25E-05,5.276126,Up
GSE39645,CAMK2D,1.044513,4.26E-06,2.25E-05,5.275976,Up
GSE39645,EMILIN3,-0.639508,4.26E-06,2.25E-05,-5.275622,Down
GSE39645,KLHL20,0.572029,4.28E-06,2.26E-05,5.2746,Up
GSE39645,PDHB,0.93157,4.28E-06,2.26E-05,5.274402,Up
GSE39645,RS1,-0.605714,4.28E-06,2.26E-05,-5.274244,Down
GSE39645,RNASE4///ANG,0.807808,4.28E-06,2.26E-05,5.274234,Up
GSE39645,SMG5,0.571802,4.28E-06,2.26E-05,5.274219,Up
GSE39645,IGSF5,-0.442162,4.29E-06,2.26E-05,-5.273388,Down
GSE39645,CHRNA6,1.330583,4.3E-06,2.27E-05,5.273013,Up
GSE39645,AOC3,-1.470571,4.32E-06,2.28E-05,-5.271356,Down
GSE39645,DIRAS1,-0.372358,4.33E-06,2.28E-05,-5.271086,Down
GSE39645,HNF4A,-0.431214,4.33E-06,2.28E-05,-5.270781,Down
GSE39645,DSTYK,0.374271,4.35E-06,2.29E-05,5.269672,Up
GSE39645,PLCB2,0.88596,4.36E-06,2.29E-05,5.269054,Up
GSE39645,WDSUB1,0.779741,4.36E-06,2.29E-05,5.26888,Up
GSE39645,SLC4A1AP,0.702353,4.38E-06,2.31E-05,5.267033,Up
GSE39645,TSPAN5,1.166291,4.39E-06,2.31E-05,5.266869,Up
GSE39645,ALOX5AP,1.232337,4.4E-06,2.31E-05,5.266178,Up
GSE39645,PHACTR3,-0.539256,4.4E-06,2.31E-05,-5.265871,Down
GSE39645,GIMAP4,1.305686,4.4E-06,2.31E-05,5.265656,Up
GSE39645,VSTM2L,-0.35801,4.41E-06,2.32E-05,-5.265454,Down
GSE39645,TLR5,1.264431,4.42E-06,2.32E-05,5.264646,Up
GSE39645,MUL1,0.642062,4.43E-06,2.33E-05,5.263826,Up
GSE39645,RNF103-CHMP3///CHMP3,0.452963,4.44E-06,2.33E-05,5.26292,Up
GSE39645,XAGE5,-0.955512,4.44E-06,2.33E-05,-5.262906,Down
GSE39645,SLCO5A1,-0.521158,4.45E-06,2.33E-05,-5.262809,Down
GSE39645,P2RY4,-0.521044,4.45E-06,2.33E-05,-5.262596,Down
GSE39645,GPATCH11,0.510789,4.45E-06,2.34E-05,5.262193,Up
GSE39645,PCK1,-0.878838,4.47E-06,2.34E-05,-5.260894,Down
GSE39645,FNDC9,-0.621036,4.48E-06,2.34E-05,-5.260762,Down
GSE39645,CLDN2,-0.657891,4.48E-06,2.34E-05,-5.260731,Down
GSE39645,BTBD1,0.539676,4.48E-06,2.34E-05,5.260718,Up
GSE39645,KATNA1,0.772194,4.48E-06,2.35E-05,5.260341,Up
GSE39645,ANKFN1,-1.055909,4.49E-06,2.35E-05,-5.260081,Down
GSE39645,SLAIN2,0.680633,4.49E-06,2.35E-05,5.259691,Up
GSE39645,PHF20L1,0.57619,4.49E-06,2.35E-05,5.259671,Up
GSE39645,ALDH6A1,0.857273,4.5E-06,2.35E-05,5.259189,Up
